unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100239,2021,W02000014,W06000002,0.0,0.379212393370625,2,77.0,0
202100240,2021,W02000012,W06000002,0.0,0.655377353560496,2,50.0,1
202100241,2021,W02000023,W06000002,0.0,0.539670586556845,1,75.0,1
202100242,2021,W02000023,W06000002,0.0,0.239838622684995,1,71.0,1
202100243,2021,W02000015,W06000002,0.0,0.598604080293716,2,61.0,1
202100244,2021,W02000013,W06000002,0.0,0.674063930969844,2,67.0,1
202100245,2021,W02000026,W06000002,0.0,0.936927363255698,2,70.0,1
202100246,2021,W02000022,W06000002,0.0,0.379212393370625,2,78.0,0
202100247,2021,W02000012,W06000002,0.0,1.01109589645477,2,67.0,1
202100248,2021,W02000021,W06000002,0.0,0.624618242170466,2,71.0,1
202100249,2021,W02000022,W06000002,0.0,0.693404645616144,1,65.0,1
202100250,2021,W02000013,W06000002,0.0,0.270224366486779,2,59.0,1
202100251,2021,W02000024,W06000002,0.0,0.540448732973558,2,58.0,1
202100252,2021,W02000015,W06000002,0.0,0.775824149207278,2,43.0,1
202100253,2021,W02000025,W06000002,0.0,0.269835293278422,1,79.0,1
202100254,2021,W02000011,W06000002,0.0,1.28979029606063,1,39.0,1
202100255,2021,W02000025,W06000002,0.0,0.299302040146858,2,60.0,1
202100256,2021,W02000013,W06000002,0.0,0.775824149207278,2,44.0,1
202100257,2021,W02000011,W06000002,0.0,0.269835293278422,1,81.0,1
202100258,2021,W02000010,W06000002,0.0,0.758424786741251,2,75.0,1
202100259,2021,W02000015,W06000002,0.0,0.371705020520683,2,48.0,1
202100260,2021,W02000017,W06000002,0.0,1.33427340624829,1,33.0,1
202100261,2021,W02000012,W06000002,0.0,0.624618242170466,2,70.0,0
202100262,2021,W02000015,W06000002,0.0,0.312309121085233,2,74.0,1
202100263,2021,W02000012,W06000002,0.0,0.539670586556845,1,79.0,1
202100264,2021,W02000023,W06000002,0.0,0.47967724536999,1,74.0,1
202100265,2021,W02000021,W06000002,0.0,0.379212393370625,2,82.0,1
202100266,2021,W02000012,W06000002,0.0,0.644895148030315,1,35.0,1
202100267,2021,W02000013,W06000002,0.0,0.539670586556845,1,76.0,1
202100268,2021,W02000023,W06000002,0.0,0.598604080293716,2,61.0,1
202100269,2021,W02000024,W06000002,0.0,0.337031965484922,2,66.0,1
202100270,2021,W02000023,W06000002,0.0,0.47967724536999,1,74.0,1
202100271,2021,W02000018,W06000002,0.0,0.47967724536999,1,73.0,1
202100272,2021,W02000018,W06000002,0.0,0.299302040146858,2,63.0,0
202100273,2021,W02000022,W06000002,0.0,0.540448732973558,2,56.0,1
202100274,2021,W02000025,W06000002,0.0,0.379212393370625,2,76.0,1
202100275,2021,W02000012,W06000002,0.0,0.269835293278422,1,89.0,0
202100276,2021,W02000010,W06000002,0.0,0.540448732973558,2,55.0,1
202100277,2021,W02000010,W06000002,0.0,0.980765629476458,2,31.0,1
202100278,2021,W02000021,W06000002,0.0,1.28979029606063,1,35.0,1
202100279,2021,W02000013,W06000002,0.0,0.312309121085233,2,74.0,1
202100280,2021,W02000011,W06000002,0.0,0.674063930969844,2,69.0,1
202100281,2021,W02000013,W06000002,0.0,0.980765629476458,2,32.0,1
