"area_id","pop_density","age_adult_mean","female_adult_share","caraccess_adult_share"
"W02000167","2212.0","48.789956485946135","0.5091575091575091","0.7644688644688644"
"W02000168","418.2","50.09319526627219","0.5142857142857142","0.8862934362934363"
"W02000169","137.8","51.650513186955955","0.5181291279148134","0.8828683110931392"
"W02000170","1689.1","51.586779071323434","0.5223901289338694","0.8673228892277832"
"W02000171","365.2","49.37908777969019","0.5191883546537274","0.9392736362299662"
"W02000172","938.7","50.02134359692092","0.5167597765363129","0.8724799611367501"
"W02000173","870.5","47.80261927034612","0.5114528271664264","0.9195899407336217"
"W02000174","1290.1","51.862660944206006","0.5259896294422663","0.9142531933729606"
"W02000175","3329.7","49.78297400126823","0.5203007518796993","0.7762740183792816"
"W02000176","2504.2","52.66917095030974","0.5216554379210779","0.8234566203767358"
"W02000177","1075.5","49.23627230209596","0.5245667321779525","0.8933357155619082"
"W02000178","2637.4","44.733793517406966","0.5383092155369383","0.7214013709063214"
"W02000179","743.2","52.92702273929138","0.5221684053651267","0.922876304023845"
"W02000180","2377.0","48.07035175879397","0.5322839704465147","0.814005782203662"
"W02000181","874.1","48.97687678175483","0.5225225225225225","0.8215196328403875"
"W02000182","5005.7","49.35860880463732","0.515008924225215","0.8137270809670615"
"W02000183","3553.4","44.822524809600736","0.488408439697838","0.7155509247199792"
"W02000184","1408.7","50.938199345842655","0.514367816091954","0.8477011494252874"
"W02000185","223.1","54.8836739276892","0.52346316283435","0.9263256687001408"
"W02000186","4887.4","44.94650521152667","0.5434680817855471","0.6474168877789918"
"W02000188","1345.9","45.49722870478413","0.4876773711725168","0.7492158327109784"
"W02000189","2861.2","53.82779080999034","0.5219123505976095","0.8393094289508632"
"W02000191","5480.3","43.188819095477385","0.4753167898627244","0.7998944033790919"
"W02000192","4250.6","42.0659868729489","0.43591825686831775","0.5579916091487346"
"W02000193","8393.9","37.187432286023835","0.45820745216515607","0.7150050352467271"
"W02000194","1668.1","49.86858760826116","0.5102085143353605","0.9016072980017377"
"W02000195","552.3","59.00208530805687","0.531723291035612","0.9224314367580844"
"W02000196","2529.1","56.15439599714082","0.5323411562678878","0.8586147681740126"
"W02000197","48.6","58.685620557681794","0.515484123872991","0.9462955703645629"
"W02000198","1644.9","58.09120961682945","0.5262555210207754","0.9065925077703255"
"W02000200","116.1","52.48167659184608","0.5150214592274678","0.885312350977587"
"W02000201","129.4","52.70206162713367","0.515621383938903","0.8539689886600323"
"W02000202","241.5","51.23977272727273","0.5154075546719682","0.8933399602385685"
"W02000204","621.0","53.97936210131332","0.5195082843399251","0.9226794940317121"
"W02000205","716.7","53.71574601926479","0.525103734439834","0.8620331950207469"
"W02000206","3119.2","52.38749350424389","0.5101401179941003","0.7035398230088495"
"W02000207","484.9","53.691468470434216","0.5213129701390472","0.9174834739001596"
"W02000208","788.8","43.505219399538106","0.5100330500472143","0.8813739376770539"
"W02000210","2252.7","49.00912879539591","0.5228241022519781","0.8210590383444918"
"W02000211","847.7","49.65578589108911","0.511899057658521","0.7840600543044242"
"W02000212","179.2","50.77052438465066","0.5144336366488861","0.8710385942893003"
"W02000213","748.4","52.69583048530417","0.5186699857752489","0.9057610241820768"
"W02000214","3293.8","51.33123067408782","0.5353375527426161","0.8020833333333334"
"W02000215","3487.0","49.79276399897724","0.5237782448765108","0.7664214398318444"
"W02000216","827.9","50.67959117456197","0.5034164673727366","0.8384010932695592"
"W02000217","128.4","50.10874079667737","0.519286683465788","0.8679976739678232"
"W02000218","457.6","48.99128014842301","0.5155185465556397","0.7857683573050719"
"W02000219","1139.7","50.94789806849538","0.5200870438567124","0.8230666220287914"
"W02000220","207.5","49.893265183403486","0.5190565448297407","0.8484848484848485"
"W02000221","248.8","48.49413443246671","0.5129366106080206","0.8365135834411385"
"W02000222","310.9","52.85327608736233","0.5133919843597263","0.8772238514173998"
"W02000223","423.2","50.28754182247589","0.5195071868583162","0.8774127310061601"
"W02000224","628.8","48.54042473919523","0.5179623645694735","0.8639042007222961"
"W02000225","829.3","50.526679306608884","0.5213256887148651","0.8530275485946022"
"W02000226","417.6","51.60075196804136","0.5124667150810942","0.9127329944323408"
"W02000227","446.1","49.485009993337776","0.5241025641025641","0.8423931623931624"
"W02000228","1615.2","44.57938856015779","0.5180461982675649","0.931665062560154"
"W02000229","2887.9","51.4261221344635","0.5112751945719417","0.8710836160447016"
"W02000230","207.1","53.602012072434604","0.5150021431633091","0.9449207029575654"
"W02000231","3497.2","49.93440068007934","0.5058806233460746","0.764334019406057"
"W02000232","729.7","50.20045276805927","0.5143708750266127","0.9254843517138599"
"W02000233","4449.5","49.28475777865301","0.5199349064279902","0.8598454027664768"
"W02000234","3815.3","49.63383027522936","0.5194697597348799","0.922831104272695"
"W02000235","1307.7","58.86098498078938","0.5232438016528925","0.8890754132231405"
"W02000236","1086.0","55.790512575612865","0.519334229993275","0.8705447209145931"
"W02000237","88.4","54.25638563472249","0.5136363636363637","0.9553359683794467"
"W02000238","152.3","58.03404550981414","0.5306008902077152","0.9362017804154302"
"W02000239","74.0","53.134502923976605","0.5142169399729201","0.9559199638934858"
"W02000240","2620.7","51.13187702265372","0.5281719825769284","0.8859069832794717"
"W02000241","4574.2","53.69051655928563","0.5132075471698113","0.8606208155812538"
"W02000242","418.6","55.04309981749263","0.5272269902337969","0.9124001183782184"
"W02000243","3579.4","48.071833648393195","0.5412689500280741","0.8075519371139809"
"W02000244","986.5","54.43660993400486","0.535009196811772","0.9157572041692214"
"W02000245","2804.7","48.2228453364817","0.517142425615466","0.864521975532397"
"W02000246","1206.2","56.351261204919744","0.5135076252723312","0.9435729847494554"
"W02000247","352.1","53.06723022057852","0.5335694050991502","0.9018413597733711"
"W02000248","6731.5","46.523737137511695","0.5214054442978775","0.7883439261302314"
"W02000249","5769.8","50.76240032436816","0.534740545294635","0.8126649076517151"
"W02000250","367.7","49.631754294638206","0.515410199556541","0.9288248337028825"
"W02000251","1999.2","49.14847826086957","0.5298607992815447","0.8420520880107768"
"W02000252","112.2","51.24182227519534","0.5183367416496251","0.8208588957055215"
"W02000253","645.4","50.34719618203511","0.5062285611121141","0.8326412709875429"
"W02000254","612.6","50.69766064554338","0.5139682049699028","0.8397900910634357"
"W02000255","619.3","51.21863247863248","0.5099876259501502","0.8536326674916033"
"W02000256","594.0","49.17445104937523","0.5163308722312602","0.805656363408835"
"W02000257","603.6","50.33647441104793","0.5185807970405246","0.8072977972086767"
"W02000258","265.1","51.11207078154624","0.5045711797997388","0.7657814540705268"
"W02000259","2695.9","49.17371890282798","0.5198749441715051","0.7545779365788299"
"W02000260","425.2","51.47878286069137","0.5176018775336035","0.7712822701088116"
"W02000261","574.1","51.18130527599878","0.5241961158866603","0.8285577841451767"
"W02000262","915.0","50.42594692674076","0.511376964578935","0.8353272343420126"
"W02000263","696.3","48.187632033800654","0.5127251370399374","0.8294831636648394"
"W02000264","827.6","48.57130657557643","0.512472647702407","0.7708971553610503"
"W02000265","889.5","49.529136924075274","0.5177343223196224","0.7963587322993931"
"W02000266","346.3","49.00668296658517","0.5193397799266423","0.8404468156052017"
