area_id,msoa_name,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000051,Denbighshire 010,2025,0.13613443663486266,4.370234982194567e-4,0.09567094769757642,0.1762523221879282,0.08058137449035177
W02000052,Denbighshire 011,2021,0.12864220741711788,4.794169944737101e-4,0.09462569367923082,0.17384658467371364,0.07922089099448282
W02000052,Denbighshire 011,2023,0.15184081698535762,6.023569247518324e-4,0.11149615163127605,0.20607219037691205,0.094576038745636
W02000052,Denbighshire 011,2025,0.14986742156198177,5.391701777813081e-4,0.11312231737026253,0.19678072814379932,0.08365841077353679
W02000053,Denbighshire 012,2021,0.11525759808575789,4.175192024971809e-4,0.07959209047079885,0.15482995022263646,0.07523785975183761
W02000053,Denbighshire 012,2023,0.1369439382664692,4.894496920390405e-4,0.09530752498745623,0.18069599859303556,0.08538847360557933
W02000053,Denbighshire 012,2025,0.13556078412553155,4.6345667546360253e-4,0.09476709046578857,0.1791610661387978,0.08439397567300921
W02000054,Denbighshire 013,2021,0.12909163216925462,3.835436483932423e-4,0.09498728319947483,0.16672010767581413,0.0717328244763393
W02000054,Denbighshire 013,2023,0.15255963575805445,5.466276695136138e-4,0.1123488677343025,0.20395846088569483,0.09160959315139233
W02000054,Denbighshire 013,2025,0.14962377516432776,4.580441901630733e-4,0.11261720331582484,0.19081839254218047,0.07820118922635563
