method,component,area_id,area_inla_id,effect,lower,upper
MRP Shallow,Structured,W02000153,142,0.05253194501868776,-0.3846882526765143,0.5143933582133084
MRP Shallow,Structured,W02000154,143,-0.00425094124549513,-0.46826526673914554,0.4639965534198652
MRP Shallow,Structured,W02000156,144,-0.0062129209341098245,-0.46286298471807824,0.43708715552537547
MRP Shallow,Structured,W02000157,145,0.025287112490169336,-0.38456422188108613,0.4423658524345951
MRP Shallow,Structured,W02000158,146,-0.0011116107721714146,-0.4090647004135305,0.4130590621940763
MRP Shallow,Structured,W02000159,147,0.09036046032074098,-0.3766995297819792,0.6281246576529009
MRP Shallow,Structured,W02000160,148,0.0030579163141810995,-0.45599474316985905,0.4564705877602424
MRP Shallow,Structured,W02000161,149,0.003385154704044939,-0.5268196560896817,0.5245129351715104
MRP Shallow,Structured,W02000162,150,0.029956762890423545,-0.591065442430656,0.6624621779842419
MRP Shallow,Structured,W02000163,151,0.02994669658575224,-0.5145898216858152,0.5907852020644829
MRP Shallow,Structured,W02000164,152,0.022647782860383627,-0.44685703991685116,0.49878322408086817
MRP Shallow,Structured,W02000165,153,0.04219270877246521,-0.5019703127696318,0.6149484254337576
MRP Shallow,Structured,W02000166,154,0.027739903071249638,-0.5287712969084418,0.6009451025018483
MRP Shallow,Structured,W02000167,155,0.04095472682219643,-0.538850287094478,0.6475640703825646
MRP Shallow,Structured,W02000168,156,-0.016466686925215204,-0.49119013313786514,0.4696881711030439
MRP Shallow,Structured,W02000169,157,-0.03309119139769899,-0.39654884834660864,0.32464462366825503
MRP Shallow,Structured,W02000170,158,-0.0964206364564669,-0.6256744140049315,0.37939699157609175
MRP Shallow,Structured,W02000171,159,-0.12601558647604874,-0.5905206269331467,0.2624434937589317
MRP Shallow,Structured,W02000172,160,-0.17411526452784667,-0.8574548380125073,0.3864294288107187
MRP Shallow,Structured,W02000173,161,-0.10578488392979406,-0.643819035595796,0.36364842857789687
MRP Shallow,Structured,W02000174,162,-0.17278178980053904,-0.7439570040807448,0.2896729031026178
MRP Shallow,Structured,W02000175,163,-0.18512987937902411,-0.879758832319228,0.3846374762315495
MRP Shallow,Structured,W02000176,164,-0.16099832905678801,-0.6805089338301746,0.2608805053681077
MRP Shallow,Structured,W02000177,165,-0.16524316191887894,-0.8112126718361952,0.36128837800110924
MRP Shallow,Structured,W02000178,166,-0.1725139040759528,-0.7678786007527075,0.3099265029172324
MRP Shallow,Structured,W02000179,167,-0.15668476109116944,-0.6988102597544811,0.30215835890623444
MRP Shallow,Structured,W02000180,168,-0.16638829426220125,-0.7074989207735067,0.27903035829640377
MRP Shallow,Structured,W02000181,169,-0.18112615219395822,-0.8287903003530714,0.3411630874072739
MRP Shallow,Structured,W02000182,170,-0.1562557050000672,-0.7463300141640135,0.3420524789651037
MRP Shallow,Structured,W02000183,171,-0.18246050634288216,-0.7184352528449693,0.2471294378401709
MRP Shallow,Structured,W02000184,172,-0.13108218908135133,-0.6576844231942793,0.33600334108067376
MRP Shallow,Structured,W02000185,173,-0.11218598523306861,-0.7231198163315583,0.4519809105408743
MRP Shallow,Structured,W02000186,174,-0.17182360669317315,-0.7530028748040853,0.31543424559877753
MRP Shallow,Structured,W02000188,175,-0.14751204947614896,-0.8554419775948168,0.4615623962027514
MRP Shallow,Structured,W02000189,176,-0.08234454302528808,-0.6573893881176762,0.4781846272652928
MRP Shallow,Structured,W02000191,177,-0.12292342715630578,-0.7122727630791507,0.41805847452697276
MRP Shallow,Structured,W02000192,178,-0.18427854762248064,-0.78972922967704,0.3180414654651186
MRP Shallow,Structured,W02000193,179,-0.169768528631417,-0.8182406150960793,0.38846796231113045
MRP Shallow,Structured,W02000194,180,-0.11461351214329298,-0.6849897019561205,0.4137781493729169
MRP Shallow,Structured,W02000195,181,-0.036352036782512566,-0.6435560829403314,0.5871784367052035
MRP Shallow,Structured,W02000196,182,0.07986404164519026,-0.6304885416330666,0.9076863898980406
MRP Shallow,Structured,W02000197,183,-0.10486974435586967,-0.7343658373517192,0.48301965881988995
MRP Shallow,Structured,W02000198,184,0.07816396109119897,-0.6311923643320916,0.9028792174172582
MRP Shallow,Structured,W02000200,185,-0.049625964707021956,-0.48028097367875233,0.3395122146409186
MRP Shallow,Structured,W02000201,186,-0.05714607994853172,-0.4609988603359687,0.29521789005668914
MRP Shallow,Structured,W02000202,187,-0.04308571631281186,-0.43040015756813876,0.3110601295113331
MRP Shallow,Structured,W02000204,188,-0.09847064289104607,-0.6088319490974,0.3299045589864565
MRP Shallow,Structured,W02000205,189,-0.11103108116125827,-0.6274658352342761,0.32601685191178703
MRP Shallow,Structured,W02000206,190,-0.24300027104299424,-0.946866711142625,0.2705134943506266
MRP Shallow,Structured,W02000207,191,-0.20430501610120602,-0.7934221685322923,0.22477980569461956
MRP Shallow,Structured,W02000208,192,-0.15207931972893224,-0.7502781044240021,0.33781424116286674
MRP Shallow,Structured,W02000210,193,-0.23683734460173506,-0.9415723550756122,0.2801862480141062
MRP Shallow,Structured,W02000211,194,-0.2084742599054935,-0.8303349061728906,0.2547788952353695
MRP Shallow,Structured,W02000212,195,-0.1665774722761471,-0.6315800044801875,0.17807050553479276
MRP Shallow,Structured,W02000213,196,-0.2413351741444897,-0.8815586988787452,0.21861756069511362
MRP Shallow,Structured,W02000214,197,-0.2985887495572369,-1.1350060413355347,0.30423724553604425
MRP Shallow,Structured,W02000215,198,-0.29441711140208143,-1.1251435311268951,0.30558158133232777
MRP Shallow,Structured,W02000216,199,-0.22590240066642314,-0.8460358418251405,0.22367572843803665
MRP Shallow,Structured,W02000217,200,-0.144264458647343,-0.6469042040372459,0.24997340963247966
