cell_id,domain_id,age_group,sex,car_access,pop_count
W02000012_age_16_24_sex_female_no_car_access,W02000012,age_16_24,sex_female,no_car_access,31.576445554869373
W02000012_age_16_24_sex_female_car_access,W02000012,age_16_24,sex_female,car_access,172.7518630447308
W02000012_age_16_24_sex_male_no_car_access,W02000012,age_16_24,sex_male,no_car_access,30.08174701409416
W02000012_age_16_24_sex_male_car_access,W02000012,age_16_24,sex_male,car_access,164.57450320983511
W02000012_age_25_44_sex_female_no_car_access,W02000012,age_25_44,sex_female,no_car_access,70.38251500782332
W02000012_age_25_44_sex_female_car_access,W02000012,age_25_44,sex_female,car_access,385.05634119734606
W02000012_age_25_44_sex_male_no_car_access,W02000012,age_25_44,sex_male,no_car_access,67.0508973849506
W02000012_age_25_44_sex_male_car_access,W02000012,age_25_44,sex_male,car_access,366.82936405693886
W02000012_age_45_64_sex_female_no_car_access,W02000012,age_45_64,sex_female,no_car_access,83.67226482047877
W02000012_age_45_64_sex_female_car_access,W02000012,age_45_64,sex_female,car_access,457.76335426331025
W02000012_age_45_64_sex_male_no_car_access,W02000012,age_45_64,sex_male,no_car_access,79.71156532017542
W02000012_age_45_64_sex_male_car_access,W02000012,age_45_64,sex_male,car_access,436.09472736074156
W02000012_age_65_plus_sex_female_no_car_access,W02000012,age_65_plus,sex_female,no_car_access,55.35623788631421
W02000012_age_65_plus_sex_female_car_access,W02000012,age_65_plus,sex_female,car_access,302.84894509076264
W02000012_age_65_plus_sex_male_no_car_access,W02000012,age_65_plus,sex_male,no_car_access,52.73590217285643
W02000012_age_65_plus_sex_male_car_access,W02000012,age_65_plus,sex_male,car_access,288.5133266147727
W02000013_age_16_24_sex_female_no_car_access,W02000013,age_16_24,sex_female,no_car_access,15.355289955387727
W02000013_age_16_24_sex_female_car_access,W02000013,age_16_24,sex_female,car_access,129.340804129341
W02000013_age_16_24_sex_male_no_car_access,W02000013,age_16_24,sex_male,no_car_access,14.852223199347774
W02000013_age_16_24_sex_male_car_access,W02000013,age_16_24,sex_male,car_access,125.10336810918193
W02000013_age_25_44_sex_female_no_car_access,W02000013,age_25_44,sex_female,no_car_access,38.364081350803616
W02000013_age_25_44_sex_female_car_access,W02000013,age_25_44,sex_female,car_access,323.1486442791239
W02000013_age_25_44_sex_male_no_car_access,W02000013,age_25_44,sex_male,no_car_access,37.10720544616921
W02000013_age_25_44_sex_male_car_access,W02000013,age_25_44,sex_male,car_access,312.5617168639782
W02000013_age_45_64_sex_female_no_car_access,W02000013,age_45_64,sex_female,no_car_access,41.84075077466498
W02000013_age_45_64_sex_female_car_access,W02000013,age_45_64,sex_female,car_access,352.4333546480313
W02000013_age_45_64_sex_male_no_car_access,W02000013,age_45_64,sex_male,no_car_access,40.469972963002654
W02000013_age_45_64_sex_male_car_access,W02000013,age_45_64,sex_male,car_access,340.88700775662306
W02000013_age_65_plus_sex_female_no_car_access,W02000013,age_65_plus,sex_female,no_car_access,33.36636905400289
W02000013_age_65_plus_sex_female_car_access,W02000013,age_65_plus,sex_female,car_access,281.0518731238195
W02000013_age_65_plus_sex_male_no_car_access,W02000013,age_65_plus,sex_male,no_car_access,32.273227140721104
W02000013_age_65_plus_sex_male_car_access,W02000013,age_65_plus,sex_male,car_access,271.84411120580097
W02000014_age_16_24_sex_female_no_car_access,W02000014,age_16_24,sex_female,no_car_access,21.426502850106534
W02000014_age_16_24_sex_female_car_access,W02000014,age_16_24,sex_female,car_access,146.36656638625053
W02000014_age_16_24_sex_male_no_car_access,W02000014,age_16_24,sex_male,no_car_access,20.936395160280053
W02000014_age_16_24_sex_male_car_access,W02000014,age_16_24,sex_male,car_access,143.01859214046533
W02000014_age_25_44_sex_female_no_car_access,W02000014,age_25_44,sex_female,no_car_access,46.55420997121663
W02000014_age_25_44_sex_female_car_access,W02000014,age_25_44,sex_female,car_access,318.01642629131356
W02000014_age_25_44_sex_male_no_car_access,W02000014,age_25_44,sex_male,no_car_access,45.489333614103764
W02000014_age_25_44_sex_male_car_access,W02000014,age_25_44,sex_male,car_access,310.7421502647088
W02000014_age_45_64_sex_female_no_car_access,W02000014,age_45_64,sex_female,no_car_access,56.81926869157807
W02000014_age_45_64_sex_female_car_access,W02000014,age_45_64,sex_female,car_access,388.1380606598952
W02000014_age_45_64_sex_male_no_car_access,W02000014,age_45_64,sex_male,no_car_access,55.51959040479123
W02000014_age_45_64_sex_male_car_access,W02000014,age_45_64,sex_male,car_access,379.2598293603433
W02000014_age_65_plus_sex_female_no_car_access,W02000014,age_65_plus,sex_female,no_car_access,38.86264484553737
W02000014_age_65_plus_sex_female_car_access,W02000014,age_65_plus,sex_female,car_access,265.47458194753136
W02000014_age_65_plus_sex_male_no_car_access,W02000014,age_65_plus,sex_male,no_car_access,37.973704582208356
