area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000030,Conwy 004,2021,9,0.29301465708004104,0.0284234309485235,0.6608704548747687,0.12009414733283394,6.592626636590385e-4,0.07551148117460721,0.17723150739703414,0.10172002622242693
W02000030,Conwy 004,2023,5,0,0,0,0.14558847451691395,0.0010022646899839503,0.09126937222669537,0.21528724184748582,0.12401786962079045
W02000030,Conwy 004,2025,16,0.03798562579064527,8.19809841266815e-4,0.11223663833216417,0.14158306796831888,8.423932096185235e-4,0.09199577156099518,0.20841009653142023,0.11641432497042505
W02000031,Conwy 005,2021,10,0.16280358842584405,0.02119865250217118,0.5707319883843731,0.13261142973845322,6.94501369625004e-4,0.08882505860833398,0.18682777576637316,0.09800271715803918
W02000031,Conwy 005,2023,2,0,0,0,0.16014840902619265,9.982140516493385e-4,0.10396368183172951,0.2339680652698078,0.1300043834380783
W02000031,Conwy 005,2025,14,0.40249462598369,0.02517454297577843,0.6219548863743972,0.15588602485180908,8.48661668244131e-4,0.10520931515663079,0.2192958182657982,0.1140865031091674
W02000032,Conwy 006,2021,9,0,0,0,0.10677234481140777,4.809995729961893e-4,0.07032614654479252,0.1546604745777635,0.08433432803297097
W02000032,Conwy 006,2023,4,0,0,0,0.12999644918582626,7.439491219050983e-4,0.08275835795036082,0.18771453629947998,0.10495617834911916
W02000032,Conwy 006,2025,13,0.09547909697907148,0.00833355371475396,0.3578435603739147,0.1263451962057188,6.22593674694345e-4,0.08365578455761435,0.17921827140320845,0.0955624868455941
W02000033,Conwy 007,2021,12,0,0,0,0.13735661740675084,5.610442533858262e-4,0.09421278723007967,0.1873594002294086,0.09314661299932894
W02000033,Conwy 007,2023,8,0.25094443439548175,0.02836874533429019,0.6602344038186266,0.1656792225375455,8.931448489517061e-4,0.11229512347166395,0.22740283207374,0.11510770860207606
W02000033,Conwy 007,2025,23,0.1623525862615769,0.00642371518522936,0.31417471164895566,0.16127548636727274,7.242048440189133e-4,0.11536530467971098,0.21562196553095064,0.10025666085123966
W02000034,Conwy 008,2021,9,0,0,0,0.10968924628208805,3.8752424502111856e-4,0.07073912682422026,0.14694913930635303,0.07621001248213277
W02000034,Conwy 008,2023,7,0.1634414873861036,0.02349806121853055,0.6008887901671479,0.1334483867007519,6.215183146193622e-4,0.08735486432131265,0.1832057958435097,0.09585093152219706
W02000034,Conwy 008,2025,17,0,0,0,0.12977910939810405,5.222389870057167e-4,0.08585339049577337,0.17419382305185177,0.0883404325560784
W02000035,Conwy 009,2021,8,0.17850345132662307,0.0264125301482222,0.6370640373298045,0.11997649529689149,4.4017557869726324e-4,0.0803210275498906,0.1658466066859341,0.0855255791360435
W02000035,Conwy 009,2023,3,0,0,0,0.14553801769870045,7.431845596540205e-4,0.09865759132557186,0.20928219385579244,0.11062460253022058
W02000035,Conwy 009,2025,20,0.10107880247212209,0.00587767062242192,0.3005250715506938,0.14159359894839346,6.047451419761248e-4,0.09823489545534511,0.1976367045795001,0.099401809124155
W02000036,Conwy 010,2021,9,0,0,0,0.11440576654187785,3.773769623668508e-4,0.07643235538237178,0.1551640356116673,0.07873168022929553
W02000036,Conwy 010,2023,5,0,0,0,0.13881942969634975,5.614686052403823e-4,0.09314534681507303,0.18827216984607165,0.09512682303099862
W02000036,Conwy 010,2025,25,0.07747668402013014,0.00201190517711896,0.17582549177003662,0.13503168126730444,4.537214837182255e-4,0.09309528725395896,0.178038475618332,0.08494318836437303
W02000037,Conwy 011,2021,9,0.18730064894195425,0.02642139122380393,0.6371708919016684,0.11622650761029424,3.4947789500848253e-4,0.08185988534927846,0.15142304297095868,0.06956315762168022
W02000037,Conwy 011,2023,2,0,0,0,0.14101959189494512,5.429534981665167e-4,0.09661710934214202,0.1940557609265294,0.09743865158438739
W02000037,Conwy 011,2025,13,0.09847861214509396,0.00879739152334915,0.367667334782242,0.1371804476422076,4.383493655487623e-4,0.09758629184028747,0.17894589990339824,0.08135960806311077
W02000038,Conwy 012,2021,4,0,0,0,0.1121197758364372,5.046547268268447e-4,0.07478464679891517,0.15645770781669982,0.08167306101778465
